Domain,Description
csairinfo.com,xStart C2
worker01.aliyunsdn.com,xStart C2
jsss.aliyunsdn.com,xStart C2
blog.aliyunsdn.com,xStart C2
cnooc.aliyunsdn.com,xStart C2
beijing.didiyuncdn.com,xStart C2
qiniu.com,xStart C2
check.wenjuan.info,xStart C2
microport.com.cn,xStart C2 (Note: likely compromised infrastructure)
mail.123456.ns1.chinaclare.com,xStart C2
ns9.aliyun-sec.cf,Elysion signed binary C2
uploadimageown.oss-cn-hongkong.aliyuncs.com,Elysion/Eagle Investments signed binary C2
app.filerun.co.kr,Elysion signed binary C2
778899aabb.ml,Elysion signed binary C2
flashplay.ga,Eagle Investments signed binary C2
38a0fefe.ns9.aliyun-sec.cf,Extra infrastructure
518688.xyz,Extra infrastructure
9.aliyun-sec.cf,Extra infrastructure
a7.kqcqgo.cn,Extra infrastructure
aaa.mail.123456.ns1.chinaclare.com,Extra infrastructure
ad.aliyunsdn.com,Extra infrastructure
aliyun-sec.cf,Extra infrastructure
aliyunsdn.com,Extra infrastructure
amazmma.aupayicloud.com,Extra infrastructure
api.aliyunsdn.com,Extra infrastructure
api.zjdc.plus,Extra infrastructure
api.zjdc.pw,Extra infrastructure
app.czjt.org,Extra infrastructure
app.urcb.online,Extra infrastructure
blogx.aliyunsdn.com,Extra infrastructure
cas.aliyunsdn.com,Extra infrastructure
casicloud.aliyunsdn.com,Extra infrastructure
ccccc.aliyunsdn.com,Extra infrastructure
ccs.aliyunsdn.com,Extra infrastructure
china-inv.org,Extra infrastructure
chinaclare.com,Extra infrastructure
cms-sonic.tk,Extra infrastructure
cms.zjdc.plus,Extra infrastructure
css.aliyunsdn.com,Extra infrastructure
czjt.org,Extra infrastructure
deen.live,Extra infrastructure
didiyuncdn.com,Extra infrastructure
dns.aliyunsdn.com,Extra infrastructure
emm.aliyunsdn.com,Extra infrastructure
eval.phpinfo.in.th,Extra infrastructure
ftp.wenjuan.info,Extra infrastructure
help.csairinfo.com,Extra infrastructure
hiju15b1iuobiou3vf213s.website,Extra infrastructure
hubei.didiyuncdn.com,Extra infrastructure
hz.aliyunsdn.com,Extra infrastructure
icdgd.enket.info,Extra infrastructure
im.aliyunsdn.com,Extra infrastructure
imap.czjt.org,Extra infrastructure
info.czjt.org,Extra infrastructure
iuiu.me,Extra infrastructure
iul.me,Extra infrastructure
iying.online,Extra infrastructure
jiezoujieju.top,Extra infrastructure
jp.czjt.org,Extra infrastructure
js-coding-cdn.top,Extra infrastructure
js.didiyuncdn.com,Extra infrastructure
jsc.aliyunsdn.com,Extra infrastructure
justears.net,Extra infrastructure
kissvideo.xyz,Extra infrastructure
m.iul.me,Extra infrastructure
mail.china-inv.org,Extra infrastructure
manager.czjt.org,Extra infrastructure
mc.czjt.org,Extra infrastructure
me.microsofts-update.com,Extra infrastructure
mysql.czjt.org,Extra infrastructure
net10.aliyunsdn.com,Extra infrastructure
nxyxny.aliyunsdn.com,Extra infrastructure
otc.coinseller.cash,Extra infrastructure
pan.czjt.org,Extra infrastructure
peer.vimax88.info,Extra infrastructure
qwerty123.aliyunsdn.com,Extra infrastructure
qzf.czjt.org,Extra infrastructure
rorora.cn,Extra infrastructure
ruimin.aliyunsdn.com,Extra infrastructure
safe.tang-cloud.com,Extra infrastructure
sarah2.arrowbow.com.cn,Extra infrastructure
screen.czjt.org,Extra infrastructure
singaporets.microsoft.com,Extra infrastructure
sk.aliyunsdn.com,Extra infrastructure
ss.czjt.org,Extra infrastructure
svepay.io,Extra infrastructure
test.leancome.com,Extra infrastructure
test2.alibabadns.in,Extra infrastructure
tieba.czjt.org,Extra infrastructure
tongji.wenjuan.info,Extra infrastructure
tools.czjt.org,Extra infrastructure
update.aliyunsdn.com,Extra infrastructure
update.didiyuncdn.com,Extra infrastructure
update.wenjuan.info,Extra infrastructure
upgrade.wenjuan.info,Extra infrastructure
use.czjt.org,Extra infrastructure
user.czjt.org,Extra infrastructure
vote.czjt.org,Extra infrastructure
wap.wenjuan.info,Extra infrastructure
webmail.czjt.org,Extra infrastructure
weixin.czjt.org,Extra infrastructure
wenjuan.info,Extra infrastructure
www.360ngsoc.com,Extra infrastructure
www.aliyun-sec.cf,Extra infrastructure
www.cms-sonic.tk,Extra infrastructure
www.csairinfo.com,Extra infrastructure
www.czjt.org,Extra infrastructure
www.hiju15b1iuobiou3vf213s.website,Extra infrastructure
www.iying.online,Extra infrastructure
www.kgujxvq.cn,Extra infrastructure
www.kissvideo.xyz,Extra infrastructure
www.rorora.cn,Extra infrastructure
www.studynnews.com,Extra infrastructure
www.user.czjt.org,Extra infrastructure
www.wenjuan.info,Extra infrastructure
www.yinfu.co,Extra infrastructure
www.zjdc.plus,Extra infrastructure
www.zjdc.pw,Extra infrastructure
yinfu.co,Extra infrastructure
zjdc.plus,Extra infrastructure
